Level 0 preferred term,Level 1 preferred term,Level 2 preferred term,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
skills,information skills,"monitoring, inspecting and testing",monitoring operational activities,Monitoring the operations of a business or organisation to ensure adequate performance and compliance with regulatory requirements.,"Excludes:
- Testing and analysing substances

Examples:
- Detect bottlenecks
- Monitor mine production
- Manage project metrics",S,S2,S2.8,S2.8.2
skills,information skills,"monitoring, inspecting and testing",inspecting food safety and quality,"Performing food safety and quality checks of ingredients, raw materials and finished food products to check if they meet required standards.","Examples: 
- check paper quality 
- inspect material

Excludes:
- inspect material",S,S2,S2.8,S2.8.9
skills,information skills,"monitoring, inspecting and testing",testing vehicles,"Inspecting vehicles and other heavy machinery used for transport, such as cargos, cars and other vehicles.",,S,S2,S2.8,S2.8.11
skills,information skills,"monitoring, inspecting and testing","monitoring, inspecting and testing","Examining and investigating problems, sites or objects to assess functioning or compliance with standards, laws or regulations.",,S,S2,S2.8,S2.8.0
skills,information skills,"monitoring, inspecting and testing",monitoring financial and economic resources and activity,"Monitor parameters to maintain awareness of levels of financial resources and expenditure, stocks, and the economic environment.","Excludes:
- Testing and analysing substances

Examples:
- Monitor production costs
- Monitor financial accounts
- Monitor bond markets",S,S2,S2.8,S2.8.3
skills,information skills,"monitoring, inspecting and testing",monitoring health conditions of humans and animals ,"Monitoring health conditions of humans or animals throughout their lifecycle or during specific occasions, such as pregnancy or surgery.","Excludes:
- Testing and analysing substances

Examples:
- Monitor patient's health condition
- Monitor pregnancy
- Monitor fish health status",S,S2,S2.8,S2.8.6
skills,information skills,"monitoring, inspecting and testing",testing and analysing substances,"Performing tests and analyses of gases, fluids or solid substances, such as blood samples, cell cultures and samples of food and beverages.","Examples:
- Analyse body fluids
- Conduct soil sample tests
- Test alkalinity
- Test oxygen purity",S,S2,S2.8,S2.8.8
skills,information skills,"monitoring, inspecting and testing",monitoring environmental conditions,"Measuring and maintaining awareness of changes in environmental conditions including the weather, air and water quality, and the impact of human activities on nature.","Excludes:
- Testing and analysing substances

Examples:
- Monitor radiation levels
- Monitor forest health
- Monitor parking areas to maintain security
- Assess harvesting impact on wildlife
- Inspect mine safety conditions",S,S2,S2.8,S2.8.5
skills,information skills,"monitoring, inspecting and testing",testing electrical and mechanical systems or equipment ,Inspecting and monitoring functionality of electrical and mechanic systems and equipment.,"Examples:
- Perform test run

Excludes:
- Testing and analysing substances
- Test vehicles
- Inspect cargo

",S,S2,S2.8,S2.8.1
skills,information skills,documenting and recording information,,"Maintaining records of information, transactions and activities in digital, paper or other forms.","Excludes:
- Writing reports or documents requiring drafting of original text",S,S2,S2.2,
skills,information skills,documenting and recording information,maintaining operational records,"Keeping records required for operational purposes such as those related to staff, clients, production and stock inventories.","Examples:
- keep personal records
- keep stock records
- prepare production reports

Excludes:
- write reports or documents requiring drafting of original text
",S,S2,S2.2,S2.2.5
skills,information skills,documenting and recording information,documenting and recording information,"Maintaining records of information, transactions and activities in digital, paper or other forms.","Excludes:
- Writing reports or documents requiring drafting of original text",S,S2,S2.2,S2.2.0
skills,information skills,documenting and recording information,"preparing documentation for contracts, applications, or permits","Preparing applications and maintaining standardized documentation for the issuance of contracts, licences or permits.","Examples:
- prepare building permit applications
- issue permits
- arrange customs documents

Excludes:
- write reports or documents requiring drafting of original text

",S,S2,S2.2,S2.2.3
skills,information skills,documenting and recording information,reporting incidents and defects,"Reporting and keeping records of events, complaints, and defective equipment or materials.","Examples:
- report airport security incidents
- write rail defect records

Excludes:
- write reports or documents requiring drafting of original text
",S,S2,S2.2,S2.2.7
skills,information skills,documenting and recording information,"documenting technical designs, procedures, problems or activities","Preparing and maintaining documentation and specifications of designs, equipment and operating procedures.","Examples:
- create documented procedures
- maintain food specifications
- provide manufacturing documentation

Excludes:
- write reports or documents requiring drafting of original text
",S,S2,S2.2,S2.2.6
skills,information skills,documenting and recording information,"preparing financial documents, records, reports, or budgets","Preparing and maintaining records and standardized reports on transactions, sales, financial information and budgets.","Examples:
- prepare financial auditing reports
- maintain financial records

Excludes:
- write reports or documents requiring drafting of original text
",S,S2,S2.2,S2.2.1
skills,information skills,documenting and recording information,recording legal information,Recording information and preparing standardized documentation and reports on legal matters.,"Examples:
- record court proceedings

Excludes:
- write reports or documents requiring drafting of original text
",S,S2,S2.2,S2.2.2
skills,information skills,documenting and recording information,maintaining or preparing medical documentation,"Maintaining health and medical records, and preparing standardized reports on health status, medical conditions, or medical test results.","Examples:
- maintain treatment records

Excludes:
- write reports or documents requiring drafting of original text
",S,S2,S2.2,S2.2.4
skills,information skills,analysing and evaluating information and data,,Examining data or facts to determine appropriate actions or recommendations; comparing and critically evaluating the credibility and reliability of sources of data; making and defending judgements based on internal evidence and external criteria.,"Excludes:
- Using ICT tools to analyse and process data.",S,S2,S2.7,
skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,Examining data or facts to determine appropriate actions or recommendations; comparing and critically evaluating the credibility and reliability of sources of data; making and defending judgements based on internal evidence and external criteria.,"Excludes:
- Using ICT tools to analyse and process data.",S,S2,S2.7,S2.7.0
skills,information skills,analysing and evaluating information and data,assessing land or real estate,"Assessing the suitability of land or buildings for future sale, use, development or conservation and estimating their value.","Excludes:
- Using ICT tools to analyse and process data.

Examples:
- Conduct environmental site assessments
- Survey sites for pipeline installation
- Value properties",S,S2,S2.7,S2.7.1
skills,information skills,analysing and evaluating information and data,performing risk analysis and management,"Identify and assess factors that may have negative financial consequences, jeopardise the success of a project or activity, expose individuals to danger, cause damage to property and equipment or threaten an organisation's functioning. Implement procedures to avoid or minimise their impact.","Excludes:
- Using ICT tools to analyse and process data.

Examples:
- Draw up risk assessment
- Apply risk management processes",S,S2,S2.7,S2.7.5
skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,Analysing data and evaluating information collected from scientific and medical tests and investigations.,"Excludes:
- Using ICT tools to analyse and process data.
- Analysing and testing samples

Examples:
- Interpret haematological test results
- Analyse environmental data",S,S2,S2.7,S2.7.2
skills,information skills,analysing and evaluating information and data,analysing financial and economic data,Analysing and evaluating information and data on finances and on economic and market trends.,"Excludes:
- Risk analysis
- Using ICT tools to analyse and process data.

Examples:
- Forecast economic trends
- Prepare financial projections
- Consult credit scores",S,S2,S2.7,S2.7.3
skills,information skills,analysing and evaluating information and data,analysing business operations,Analysing and evaluating information and data on production and business operations.,"Excludes:
- Using ICT tools to analyse and process data.

Examples:
- Perform business analysis
- Conduct feasibility studies",S,S2,S2.7,S2.7.4
